,descr,label,title
0,"This book is aimed at giving novice coders an understanding of the methods and techniques used in professional games development. Designed to help develop and strengthen problem solving and basic C/C++ skills, it also will help to develop familiarity targeting and using fixed/restricted hardware, which are key skills in console development. It allows the reader to increase their confidence as game programmers by walking them through increasingly involved game concepts, while maintaining the understanding that despite the increased complexity, the core methods remain consistent with the advancement of the technology; the technology only enhances the gaming experience. It also demonstrates underlying principles of game coding in practical step by step ways to increase exposure and confidence in game coding concepts.",computers,The Fundamentals of C/C++ Game Programming
1,"Unity is the most popular game engine among Indie developers, start-ups, and medium to large independent game development companies. This book is a complete exercise in game development covering environments, physics, sound, particles, and much more-to get you up and running with Unity rapidly.In this informal guide, you'll get to grips with the basics of game development, starting off with using C# for scripting. You'll get the hang of Unity's development environment and will be able to set up the required assets for your frst 2D game. You'll work on animating your player and getting it to move in the 2D environment. Next, you'll see how to build the game in 3D, making use of Unity's new 3D animation system. After building a beautiful 3D environment for the game, you'll work with the latest physics system that Unity has to offer and will make your assets interactive. You'll induce artifcial intelligence into the enemies and develop a mechanism to hit them with rocks and punches. Once you've made things pretty with the particle system, you'll move on to optimize the game, adding a cross-platform ready UI, and publishing your game across multiple platforms.You'll walk away with a cool 2D parallax side parallax game and an even cooler third-person 3D adventure game, but most importantly, with the confdence to build your own games.",computers,Unity 2017 Game Development Essentials
2,"This book is for anyone who wants to learn computer programming and knows absolutely nothing about it. Of course, if you are wondering whether this book is going to teach you how to create amazing applets or incredible desktop or mobile applications, the answer is 'no'—that is a job for other books. So many books out there can teach you those skills in Python, C#, or Java. Many of them even claim that they can teach you in 24 hours! Don’t laugh! They probably can do that, but all of them take one thing for granted—that the reader knows some basics about computer programming. None of those books, unfortunately, bothers to teach you the first thing that a novice programmer needs to learn, which is 'Algorithmic Thinking.'Algorithmic Thinking involves more than just learning code. It is a problem solving process that involves learning how to code. With over 700 pages, and containing more than 300 solved and 400 unsolved exercises, over 450 true/false, 150 multiple choice, and 180 review questions (the solutions and the answers to which can be found on the Internet), this book is ideal for students, teachers, professors, novices or average programmers, or for anyone who wants to start learning or teaching computer programming using the proper conventions and techniques.",computers,Python and Algorithmic Thinking for the Complete Beginner
3,"Computers are the most complex machines that have ever been created. This book will tell you how they work, and no technical knowledge is required. It explains in great detail the operation of a simple but functional computer. Although transistors are mentioned, relays are used in the example circuitry for simplicity. Did you ever wonder what a bit, a pixel, a latch, a word (of memory), a data bus, an address bus, a memory, a register, a processor, a timing diagram, a clock (of a processor), an instruction, or machine code is? Unlike most explanations of how computers work which are a lot of analogies or require a background in electrical engineering, this book will tell you precisely what each of them is and how each of them works without requiring any previous knowledge of computers, programming, or electronics. This book starts out very simple and gets more complex as it goes along, but everything is explained. The processor and memory are mainly covered.",computers,How Computers Work: Processor And Main Memory
4,"
    An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background, deep learning techniques used in industry, and research perspectives.

""Written by three experts in the field, Deep Learning is the only comprehensive book on the subject.""
-- Elon Musk, cochair of OpenAI; cofounder and CEO of Tesla and SpaceX

Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge from experience, there is no need for a human computer operator to formally specify all the knowledge that the computer needs. The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning.

The text offers mathematical and conceptual background, covering relevant concepts in linear algebra, probability theory and information theory, numerical computation, and machine learning. It describes deep learning techniques used by practitioners in industry, including deep feedforward networks, regularization, optimization algorithms, convolutional networks, sequence modeling, and practical methodology; and it surveys such applications as natural language processing, speech recognition, computer vision, online recommendation systems, bioinformatics, and videogames. Finally, the book offers research perspectives, covering such theoretical topics as linear factor models, autoencoders, representation learning, structured probabilistic models, Monte Carlo methods, the partition function, approximate inference, and deep generative models.

Deep Learning can be used by undergraduate or graduate students planning careers in either industry or research, and by software engineers who want to begin using deep learning in their products or platforms. A website offers supplementary material for both readers and instructors.
    ",computers,Deep Learning
5,"
    A new edition of the essential text and professional reference, with substantial new material on such topics as vEB trees, multithreaded algorithms, dynamic programming, and edge-based flow.

Some books on algorithms are rigorous but incomplete; others cover masses of material but lack rigor. Introduction to Algorithms uniquely combines rigor and comprehensiveness. The book covers a broad range of algorithms in depth, yet makes their design and analysis accessible to all levels of readers. Each chapter is relatively self-contained and can be used as a unit of study. The algorithms are described in English and in a pseudocode designed to be readable by anyone who has done a little programming. The explanations have been kept elementary without sacrificing depth of coverage or mathematical rigor.

The first edition became a widely used text in universities worldwide as well as the standard reference for professionals. The second edition featured new chapters on the role of algorithms, probabilistic analysis and randomized algorithms, and linear programming. The third edition has been revised and updated throughout. It includes two completely new chapters, on van Emde Boas trees and multithreaded algorithms, substantial additions to the chapter on recurrence (now called ""Divide-and-Conquer""), and an appendix on matrices. It features improved treatment of dynamic programming and greedy algorithms and a new notion of edge-based flow in the material on flow networks. Many new exercises and problems have been added for this edition. The international paperback edition is no longer available; the hardcover is available worldwide.
    ",computers,Introduction to Algorithms
6,"Starred Review. Renowned inventor Kurzweil (The Age of Spiritual Machines) may be technology's most credibly hyperbolic optimist. Elsewhere he has argued that eliminating fat intake can prevent cancer; here, his quarry is the future of consciousness and intelligence. Humankind, it runs, is at the threshold of an epoch (the singularity, a reference to the theoretical limitlessness of exponential expansion) that will see the merging of our biology with the staggering achievements of GNR (genetics, nanotechnology and robotics) to create a species of unrecognizably high intelligence, durability, comprehension, memory and so on. The word 'unrecognizable' is not chosen lightly: wherever this is heading, it won't look like us. Kurzweil's argument is necessarily twofold: it's not enough to argue that there are virtually no constraints on our capacity; he must also convince readers that such developments are desirable. In essence, he conflates the wholesale transformation of the species with 'immortality,' for which read a repeal of human limit. In less capable hands, this phantasmagoria of speculative extrapolation, which incorporates a bewildering variety of charts, quotations, playful Socratic dialogues and sidebars, would be easier to dismiss. But Kurzweil is a true scientist—a large-minded one at that—and gives due space both to 'the panoply of existential risks' as he sees them and the many presumed lines of attack others might bring to bear. What's arresting isn't the degree to which Kurzweil's heady and bracing vision fails to convince—given the scope of his projections, that's inevitable—but the degree to which it seems downright plausible. (Sept.) ",futurism,The Singularity is Near
7,"Superintelligence asks the questions: What happens when machines surpass humans in general intelligence? Will artificial agents save or destroy us? Nick Bostrom lays the foundation for understanding the future of humanity and intelligent life. The human brain has some capabilities that the brains of other animals lack. It is to these distinctive capabilities that our species owes its dominant position. If machine brains surpassed human brains in general intelligence, then this new superintelligence could become extremely powerful - possibly beyond our control. As the fate of the gorillas now depends more on humans than on the species itself, so would the fate of humankind depend on the actions of the machine superintelligence.But we have one advantage: we get to make the first move. Will it be possible to construct a seed Artificial Intelligence, to engineer initial conditions so as to make an intelligence explosion survivable? How could one achieve a controlled detonation? This profoundly ambitious and original book breaks down a vast track of difficult intellectual terrain. After an utterly engrossing journey that takes us to the frontiers of thinking about the human condition and the future of intelligent life, we find in Nick Bostrom's work nothing less than a reconceptualization of the essential task of our time.",futurism,Superintelligence
8,"How will Artificial Intelligence affect crime, war, justice, jobs, society and our very sense of being human? The rise of AI has the potential to transform our future more than any other technology—and there’s nobody better qualified or situated to explore that future than Max Tegmark, an MIT professor who’s helped mainstream research on how to keep AI beneficial.How can we grow our prosperity through automation without leaving people lacking income or purpose? What career advice should we give today’s kids? How can we make future AI systems more robust, so that they do what we want without crashing, malfunctioning or getting hacked? Should we fear an arms race in lethal autonomous weapons? Will machines eventually outsmart us at all tasks, replacing humans on the job market and perhaps altogether? Will AI help life flourish like never before or give us more power than we can handle? What sort of future do you want? This book empowers you to join what may be the most important conversation of our time. It doesn’t shy away from the full range of viewpoints or from the most controversial issues—from superintelligence to meaning, consciousness and the ultimate physical limits on life in the cosmos.",futurism,Life 3.0
9,"
    Artificial “machine” intelligence is playing an ever-greater role in our society. We are already using cruise control in our cars, automatic checkout at the drugstore, and are unable to live without our smartphones. The discussion around AI is polarized; people think either machines will solve all problems for everyone, or they will lead us down a dark, dystopian path into total human irrelevance. Regardless of what you believe, the idea that we might bring forth intelligent creation can be intrinsically frightening. But what if our greatest role as humans so far is that of creators?

Amir Husain, a brilliant inventor and computer scientist, argues that we are on the cusp of writing our next, and greatest, creation myth. It is the dawn of a new form of intellectual diversity, one that we need to embrace in order to advance the state of the art in many critical fields, including security, resource management, finance, and energy. “In The Sentient Machine, Husain prepares us for a brighter future; not with hyperbole about right and wrong, but with serious arguments about risk and potential” (Dr. Greg Hyslop, Chief Technology Officer, The Boeing Company). He addresses broad existential questions surrounding the coming of AI: Why are we valuable? What can we create in this world? How are we intelligent? What constitutes progress for us? And how might we fail to progress? Husain boils down complex computer science and AI concepts into clear, plainspoken language and draws from a wide variety of cultural and historical references to illustrate his points. Ultimately, Husain challenges many of our societal norms and upends assumptions we hold about “the good life.”
    ",futurism,The Sentient Machine: The Coming Age of Artificial Intelligence
